method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
1Lex,72791.0,0,3,0,2,49,0.280433893204,1,137,18.0364963504,1,139,987.241305281,183
1Lex,72702.0,0,3,0,3,46,0.281345844269,1,137,18.0656934307,1,139,1009.42947617,184
1Lex,73098.5,0,3,0,4,34,0.281841039658,1,137,17.9197080292,1,139,988.794976385,185
1Lex,72824.0,0,3,0,5,42,0.28142285347,1,137,18.3138686131,1,139,1003.80517389,186
1Lex,72763.0,0,3,0,6,46,0.279251813889,1,137,17.6788321168,1,139,984.263739802,187
1Lex,72925.5,0,3,0,7,49,0.279108047485,1,137,17.9270072993,1,139,1003.02404465,188
1Lex,72832.5,0,3,0,8,54,0.282510995865,1,137,18.0583941606,1,139,976.055388579,189
1Lex,72669.5,0,3,0,9,41,0.280245065689,1,137,17.2919708029,1,139,970.414126234,190
1Lex,72596.5,0,3,1,0,56,0.280524969101,1,137,17.5839416058,1,139,996.67121082,191
1Lex,72790.0,0,3,1,1,47,0.282451868057,1,137,18.8759124088,1,139,1078.38890082,192
1Lex,72754.5,0,3,1,2,48,0.27982711792,1,137,17.496350365,1,139,969.575354229,193
1Lex,72825.0,0,3,1,3,57,0.282106161118,1,137,18.5912408759,1,139,995.934628596,194
1Lex,72823.0,0,3,1,4,47,0.281371116638,1,137,18.9489051095,1,139,1008.49001717,195
1Lex,72683.5,0,3,1,5,54,0.281620025635,1,137,18.3649635036,1,139,1086.67464577,196
1Lex,72869.0,0,3,1,6,49,0.281321048737,1,137,18.2773722628,1,139,1000.34896951,197
1Lex,72864.0,0,3,1,7,54,0.280790805817,1,137,18.3795620438,1,139,991.898990983,198
1Lex,72760.5,0,3,1,8,56,0.280409097672,1,137,18.2700729927,1,139,980.99270073,199
1Lex,72740.0,0,3,1,9,58,0.282642126083,1,137,18.7153284672,1,139,1087.23454272,200
1Lex,72890.0,0,3,2,0,42,0.282943964005,1,137,18.6058394161,1,139,996.637612709,201
1Lex,72771.0,0,3,2,1,45,0.281754970551,1,137,17.7445255474,1,139,993.779841134,202
1Lex,72758.0,0,3,2,2,46,0.280252933502,1,137,17.401459854,1,139,963.065586088,203
