method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
1,72567.5,0,5,2,2,100,0.66811299324,1,137,15.2919708029,0,139,771.222949764,967
2,0.0,0,5,2,2,-1,0.0814900398254,1,1,0.0,0,0,nan,968
3,0.0,0,5,2,2,-1,0.0824542045593,1,1,0.0,0,0,nan,969
1,72399.5,0,5,2,3,89,0.647949934006,1,137,13.2554744526,1,139,617.000429369,970
2,0.0,0,5,2,3,-1,0.099848985672,1,1,0.0,0,0,nan,971
3,0.0,0,5,2,3,-1,0.0871529579163,1,1,0.0,0,0,nan,972
1,72476.5,0,5,2,4,81,0.643019199371,1,137,13.8467153285,1,139,632.64544869,973
2,71811.4,0,5,2,4,63,0.639152050018,1,137,15.8686131387,1,139,939.306139974,974
3,70958.0,0,5,2,4,64,0.625032186508,1,137,17.0218978102,1,139,1047.91863461,975
1,72722.5,0,5,2,5,88,0.660872936249,1,137,13.4671532847,0,139,633.28016316,976
2,0.0,0,5,2,5,-1,0.0796270370483,1,1,0.0,0,0,nan,977
3,71058.8,0,5,2,5,59,0.625497102737,1,137,17.2116788321,1,139,1132.68280378,978
1,72601.0,0,5,2,6,106,0.672049999237,1,137,14.1751824818,1,139,660.763203091,979
2,71775.5,0,5,2,6,81,0.621273994446,1,137,16.4233576642,1,139,948.319450408,980
3,0.0,0,5,2,6,-1,0.0861070156097,1,1,0.0,0,0,nan,981
1,72407.0,0,5,2,7,86,0.667438030243,1,137,12.6131386861,1,139,545.47423787,982
2,0.0,0,5,2,7,-1,0.0882661342621,1,1,0.0,0,0,nan,983
3,0.0,0,5,2,7,-1,0.0790750980377,1,1,0.0,0,0,nan,984
1,72380.5,0,5,2,8,83,0.645717859268,1,137,14.2919708029,1,139,742.722949764,985
2,0.0,0,5,2,8,-1,0.101534128189,1,1,0.0,0,0,nan,986
3,0.0,0,5,2,8,-1,0.0841410160065,1,1,0.0,0,0,nan,987
1,72756.0,0,5,2,9,88,0.644151926041,1,137,14.102189781,1,139,653.813009875,988
2,0.0,0,5,2,9,-1,0.0964550971985,1,1,0.0,0,0,nan,989
3,0.0,0,5,2,9,-1,0.0826489925385,1,1,0.0,0,0,nan,990
1,72500.0,0,5,3,0,93,0.639440059662,1,137,13.7372262774,0,139,654.327501073,991
2,0.0,0,5,3,0,-1,0.083193063736,1,1,0.0,0,0,nan,992
3,0.0,0,5,3,0,-1,0.0945780277252,1,1,0.0,0,0,nan,993
1,72386.5,0,5,3,1,93,0.651757001877,1,137,15.1386861314,1,139,858.252683555,994
2,0.0,0,5,3,1,-1,0.0805289745331,1,1,0.0,0,0,nan,995
3,0.0,0,5,3,1,-1,0.0933029651642,1,1,0.0,0,0,nan,996
1,72439.0,0,5,3,2,94,0.651579141617,1,137,13.7810218978,1,139,638.142872477,997
2,0.0,0,5,3,2,-1,0.0809991359711,1,1,0.0,0,0,nan,998
3,70997.0,0,5,3,2,74,0.621201992035,1,137,16.8394160584,1,139,955.047552598,999
1,72416.0,0,5,3,3,90,0.660116195679,1,137,13.3576642336,0,139,542.849076857,1000
2,0.0,0,5,3,3,-1,0.0892989635468,1,1,0.0,0,0,nan,1001
3,0.0,0,5,3,3,-1,0.0812509059906,1,1,0.0,0,0,nan,1002
1,72761.0,0,5,3,4,88,0.651884078979,1,137,15.5839416058,1,139,776.538857879,1003
2,0.0,0,5,3,4,-1,0.0986769199371,1,1,0.0,0,0,nan,1004
3,0.0,0,5,3,4,-1,0.0945107936859,1,1,0.0,0,0,nan,1005
1,72417.5,0,5,3,5,85,0.647341012955,1,137,13.1240875912,0,139,545.447724345,1006
2,0.0,0,5,3,5,-1,0.099828004837,1,1,0.0,0,0,nan,1007
3,0.0,0,5,3,5,-1,0.0823049545288,1,1,0.0,0,0,nan,1008
1,72467.5,0,5,3,6,96,0.649564027786,1,137,14.3868613139,1,139,658.136002576,1009
2,0.0,0,5,3,6,-1,0.0871779918671,1,1,0.0,0,0,nan,1010
3,0.0,0,5,3,6,-1,0.0966610908508,1,1,0.0,0,0,nan,1011
1,72415.5,0,5,3,7,90,0.640440225601,1,137,14.8394160584,1,139,766.385787892,1012
2,0.0,0,5,3,7,-1,0.0798568725586,1,1,0.0,0,0,nan,1013
3,0.0,0,5,3,7,-1,0.100142002106,1,1,0.0,0,0,nan,1014
1,72373.0,0,5,3,8,86,0.63730096817,1,137,11.9562043796,1,139,396.586303134,1015
2,71137.3,0,5,3,8,77,0.621556043625,1,137,17.6569343066,1,139,1154.09467583,1016
3,0.0,0,5,3,8,-1,0.0803549289703,1,1,0.0,0,0,nan,1017
1,72469.0,0,5,3,9,87,0.669200897217,1,137,14.3211678832,1,139,655.572563332,1018
2,70987.5,0,5,3,9,58,0.605937004089,1,137,16.4087591241,1,139,947.846393302,1019
3,70905.0,0,5,3,9,68,0.643219947815,1,137,17.0218978102,1,139,1045.96275225,1020
1,72375.0,0,5,4,0,89,0.648154020309,1,137,12.8248175182,1,139,543.645556033,1021
2,0.0,0,5,4,0,-1,0.0833489894867,1,1,0.0,0,0,nan,1022
3,70972.0,0,5,4,0,67,0.619705915451,1,137,17.2700729927,1,139,1042.19858308,1023
1,72731.0,0,5,4,1,84,0.640184879303,1,137,13.102189781,1,139,543.15124517,1024
2,0.0,0,5,4,1,-1,0.106813907623,1,1,0.0,0,0,nan,1025
3,0.0,0,5,4,1,-1,0.0893330574036,1,1,0.0,0,0,nan,1026
1,72470.0,0,5,4,2,87,0.64710521698,1,137,13.5328467153,0,139,545.353692572,1027
2,0.0,0,5,4,2,-1,0.0970821380615,1,1,0.0,0,0,nan,1028
3,71788.0,0,5,4,2,65,0.626743078232,1,137,18.299270073,1,139,1170.74066123,1029
1,72361.0,0,5,4,3,93,0.635961055756,1,137,13.8832116788,1,139,660.648024903,1030
2,0.0,0,5,4,3,-1,0.103272914886,1,1,0.0,0,0,nan,1031
3,0.0,0,5,4,3,-1,0.0878751277924,1,1,0.0,0,0,nan,1032
1,72346.0,0,5,4,4,85,0.647985935211,1,137,14.4160583942,0,139,763.318269644,1033
2,71182.6,0,5,4,4,68,0.641857862473,1,137,16.9489051095,1,139,1049.16648776,1034
3,0.0,0,5,4,4,-1,0.085216999054,1,1,0.0,0,0,nan,1035
1,72393.5,0,5,4,5,87,0.646718025208,1,137,14.9270072993,1,139,856.376985831,1036
2,0.0,0,5,4,5,-1,0.0866179466248,1,1,0.0,0,0,nan,1037
3,0.0,0,5,4,5,-1,0.0971961021423,1,1,0.0,0,0,nan,1038
1,72393.0,0,5,4,6,92,0.653629779816,1,137,14.0875912409,1,139,642.315800773,1039
2,0.0,0,5,4,6,-1,0.0874819755554,1,1,0.0,0,0,nan,1040
3,71000.5,0,5,4,6,65,0.63130402565,1,137,16.9270072993,1,139,963.553456419,1041
1,72415.0,0,5,4,7,79,0.64673614502,1,137,12.7153284672,1,139,542.881601546,1042
2,0.0,0,5,4,7,-1,0.0818130970001,1,1,0.0,0,0,nan,1043
3,0.0,0,5,4,7,-1,0.104562997818,1,1,0.0,0,0,nan,1044
1,72502.0,0,5,4,8,85,0.648035049438,1,137,13.8321167883,1,139,656.890725633,1045
2,0.0,0,5,4,8,-1,0.0827960968018,1,1,0.0,0,0,nan,1046
