0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,24,23,22,51,21,20,19,18,17,16,15,12,14,13,53,52,32,31,30,59,58,57,56,55,54,42,41,40,39,38,37,36,50,7,8,9,11,10,44,46,45,2,47,35,34,33,60,48,65,64,63,62,61,1,4,5,6,29,26,27,29,49,67,66,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,38,33,35,34,26,1,30,31,29,28,27,39,54,43,44,2,19,25,61,62,63,64,57,65,45,46,47,48,49,50,51,23,12,13,14,5,4,37,66,67,9,21,16,47,24,42,17,58,59,60,55,56,11,8,7,6,31,15,41,52,20,53,22,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,8,9,10,,,1,,,,4,,,,,,,,,,,,,,,,2,5,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,13,24,23,62,22,21,20,14,19,16,15,17,18,47,1,2,48,49,50,7,6,8,5,63,64,67,51,52,53,54,55,56,3,35,36,37,38,39,27,44,45,46,57,58,32,34,12,33,10,11,9,65,66,40,41,42,43,28,29,30,59,60,61,4,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,39,40,55,19,20,6,14,11,21,17,12,9,22,53,54,32,13,33,63,64,65,66,59,58,49,43,45,46,47,42,44,51,36,37,38,30,31,10,34,35,25,2,41,8,23,50,24,56,57,62,61,60,26,27,28,29,18,16,4,48,1,67,52,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,29,42,43,54,31,44,33,28,45,24,2,30,36,26,60,61,39,46,47,48,49,50,51,52,53,4,5,8,9,10,6,7,62,15,16,17,18,19,34,66,67,27,13,11,37,40,63,41,55,56,57,58,59,20,21,22,23,32,1,25,3,12,64,65,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,23,25,9,24,20,22,33,42,35,36,34,41,53,66,67,27,30,28,57,58,59,60,3,10,5,2,6,8,7,1,4,65,44,45,46,43,47,32,54,55,48,19,14,29,39,40,37,61,62,63,12,11,51,17,52,50,49,31,16,13,15,56,64,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,5,6,11,1,8,2,21,23,24,22,20,14,19,26,25,41,43,42,29,30,31,28,9,32,40,12,36,38,37,13,27,44,64,66,65,67,63,3,34,35,45,15,16,10,55,39,49,61,62,48,47,46,56,58,59,60,57,53,50,52,18,17,51,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
