method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
2,0.0,0,1,1,0,-1,0.0830008983612,1,1,0.0,0,0,nan,212
3,70843.0,0,1,1,0,55,0.636400938034,1,137,16.0583941606,1,139,1035.93774152,213
1,72391.0,0,1,1,1,84,0.67976307869,1,137,13.102189781,1,139,640.695362817,214
2,0.0,0,1,1,1,-1,0.0826549530029,1,1,0.0,0,0,nan,215
3,71623.0,0,1,1,1,66,0.632834911346,1,137,15.204379562,1,139,847.766745384,216
1,72332.0,0,1,1,2,75,0.675518989563,1,137,12.4160583942,0,139,525.641799055,217
2,71665.0,0,1,1,2,49,0.62899518013,1,137,15.2554744526,1,139,844.000429369,218
3,70854.0,0,1,1,2,70,0.662214994431,1,137,15.4306569343,1,139,919.849935595,219
1,72407.5,0,1,1,3,77,0.674816131592,1,137,13.2627737226,0,139,646.856912838,220
2,70864.5,0,1,1,3,61,0.637119054794,1,137,15.1386861314,1,139,914.429154143,221
3,70864.0,0,1,1,3,46,0.645179033279,1,137,15.8394160584,1,139,945.253434951,222
1,72308.0,0,1,1,4,79,0.671578168869,1,137,13.2262773723,1,139,629.632245599,223
2,70842.0,0,1,1,4,61,0.635960102081,1,137,15.9927007299,1,139,1030.18376986,224
3,0.0,0,1,1,4,-1,0.0901739597321,1,1,0.0,0,0,nan,225
1,72439.0,0,1,1,5,80,0.677994966507,1,137,14.2335766423,0,139,741.562687849,226
2,0.0,0,1,1,5,-1,0.081435918808,1,1,0.0,0,0,nan,227
3,70847.0,0,1,1,5,67,0.637095928192,1,137,15.3138686131,1,139,917.790468012,228
1,72366.0,0,1,1,6,76,0.675266981125,1,137,12.3357664234,1,139,527.709961357,229
2,70859.0,0,1,1,6,68,0.627501964569,1,137,15.4306569343,1,139,921.688170889,230
3,70836.0,0,1,1,6,65,0.660044193268,1,137,15.9489051095,1,139,1028.06354659,231
1,72301.0,0,1,1,7,71,0.655988931656,1,137,12.9562043796,1,139,639.321597252,232
2,70852.0,0,1,1,7,61,0.631790876389,1,137,15.6642335766,1,139,937.401137827,233
3,70844.0,0,1,1,7,48,0.63347697258,1,137,16.0510948905,1,139,1025.01942894,234
1,72254.0,0,1,1,8,81,0.680485010147,1,137,12.9781021898,0,139,614.256869901,235
2,71783.8,0,1,1,8,58,0.672219991684,1,137,15.1313868613,1,139,914.835551739,236
3,70986.4,0,1,1,8,62,0.655634880066,1,137,15.496350365,1,139,1001.36947188,237
1,72287.0,0,1,1,9,78,0.655617952347,1,137,12.4598540146,0,139,630.91197939,238
2,70848.0,0,1,1,9,46,0.628152132034,1,137,16.0072992701,1,139,1024.13965221,239
3,70853.0,0,1,1,9,49,0.650213956833,1,137,15.7883211679,1,139,935.432803778,240
